brand_folder,brand,rank,days_running,started_running,display_format,cta_type,video_duration_s,hook,headline,primary_text,transcript,landing_url,placements,foreplay_url,foreplay_id,media_files,thumbnail_file,media_count
06_Adobe_Video,Adobe Video,1,359,2025-09-22,DCO,LEARN_MORE,,Try in Premiere Pro (beta).,Try in Premiere Pro (beta).,"Add frames, lengthen ambient audio, and eliminate awkward cuts with Generative Extend. Now in Premiere Pro (beta).",,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=yRkqcjBJTl7UaIRt0DF1,yRkqcjBJTl7UaIRt0DF1,01_359d_Try-in-Premiere-Pro-beta_v1.mp4; 01_359d_Try-in-Premiere-Pro-beta_v2.mp4,,2
06_Adobe_Video,Adobe Video,2,359,2025-09-22,DCO,LEARN_MORE,,"Fewer clicks, more control.","Fewer clicks, more control.",Click once and the new Properties panel makes your go-to tools accessible in one easy-to-use interface.,,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=bZBvEqm0ZIyc66OxLpXp,bZBvEqm0ZIyc66OxLpXp,02_359d_Fewer-clicks-more-control_v1.mp4; 02_359d_Fewer-clicks-more-control_v2.mp4,,2
06_Adobe_Video,Adobe Video,3,356,2025-09-25,VIDEO,LEARN_MORE,15.08,"Fewer clicks, more control.","Fewer clicks, more control.",Click once and the new Properties panel makes your go-to tools accessible in one easy-to-use interface.,,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=FDh3hwaQ6IENpqRTZzNe,FDh3hwaQ6IENpqRTZzNe,03_356d_Fewer-clicks-more-control.mp4,03_356d_Fewer-clicks-more-control_thumb.jpg,1
06_Adobe_Video,Adobe Video,4,353,2025-09-28,IMAGE,LEARN_MORE,,Try in Premiere Pro (beta).,Try in Premiere Pro (beta).,"Add frames, lengthen ambient audio, and eliminate awkward cuts with Generative Extend. Now in Premiere Pro (beta).",,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=MYpPynQkDH8H6NkA4kvq,MYpPynQkDH8H6NkA4kvq,04_353d_Try-in-Premiere-Pro-beta.jpg,,1
06_Adobe_Video,Adobe Video,5,349,2025-10-02,VIDEO,LEARN_MORE,30.14,Faster. Smarter. And easier than ever.,Faster. Smarter. And easier than ever.,"See what’s new in Premiere Pro — magically extend your clips, auto-translate captions, find clips fast, and more.",,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=3OSqVMaoeZodu1i0CYwk,3OSqVMaoeZodu1i0CYwk,05_349d_Faster-Smarter-And-easier-than-ever.mp4,05_349d_Faster-Smarter-And-easier-than-ever_thumb.jpg,1
06_Adobe_Video,Adobe Video,6,346,2025-10-05,VIDEO,LEARN_MORE,,Try in Premiere Pro (beta).,Try in Premiere Pro (beta).,"Add frames, lengthen ambient audio, and eliminate awkward cuts with Generative Extend. Now in Premiere Pro (beta).",,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=uP7HG3bo5Pf8CAFHpSEv,uP7HG3bo5Pf8CAFHpSEv,06_346d_Try-in-Premiere-Pro-beta.mp4,06_346d_Try-in-Premiere-Pro-beta_thumb.jpg,1
06_Adobe_Video,Adobe Video,7,344,2025-10-07,VIDEO,LEARN_MORE,15.08,"Fewer clicks, more control.","Fewer clicks, more control.",Click once and the new Properties panel makes your go-to tools accessible in one easy-to-use interface.,,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=yuxByXs9I8PasSwYJoro,yuxByXs9I8PasSwYJoro,07_344d_Fewer-clicks-more-control.mp4,07_344d_Fewer-clicks-more-control_thumb.jpg,1
06_Adobe_Video,Adobe Video,8,344,2025-10-07,IMAGE,LEARN_MORE,,Find your go-to tools fast.,Find your go-to tools fast.,Click once and the new Properties panel makes your go-to tools accessible in one easy-to-use interface.,,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=FzMUF2C343aZAq2LTGuL,FzMUF2C343aZAq2LTGuL,08_344d_Find-your-go-to-tools-fast.jpg,,1
06_Adobe_Video,Adobe Video,9,343,2025-10-08,VIDEO,LEARN_MORE,15.08,Find your go-to tools fast.,Find your go-to tools fast.,Click once and the new Properties panel makes your go-to tools accessible in one easy-to-use interface.,,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=sgQPQavsTPlRbVjo1LuS,sgQPQavsTPlRbVjo1LuS,09_343d_Find-your-go-to-tools-fast.mp4,09_343d_Find-your-go-to-tools-fast_thumb.jpg,1
06_Adobe_Video,Adobe Video,10,336,2025-10-15,VIDEO,LEARN_MORE,30.14,Faster. Smarter. And easier than ever.,Faster. Smarter. And easier than ever.,"See what’s new in Premiere Pro — magically extend your clips, auto-translate captions, find clips fast, and more.",,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=7FPsTXzKbRHhmuXczDB5,7FPsTXzKbRHhmuXczDB5,10_336d_Faster-Smarter-And-easier-than-ever.mp4,10_336d_Faster-Smarter-And-easier-than-ever_thumb.jpg,1
06_Adobe_Video,Adobe Video,11,323,2025-10-28,VIDEO,LEARN_MORE,15.12,Try in Premiere Pro (beta).,Try in Premiere Pro (beta).,"Add frames, lengthen ambient audio, and eliminate awkward cuts with Generative Extend. Now in Premiere Pro (beta).",,https://www.adobe.com/in/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=LmmLRUEqHVI2vBfhDOZd,LmmLRUEqHVI2vBfhDOZd,11_323d_Try-in-Premiere-Pro-beta.mp4,11_323d_Try-in-Premiere-Pro-beta_thumb.jpg,1
06_Adobe_Video,Adobe Video,12,314,2025-11-06,DCO,LEARN_MORE,,您的故事，快照呈現,您的故事，快照呈現,像影片創作者 Celina Bhandari 一樣拍攝最喜歡的時刻，並分享作品。開始使用 Adobe Premiere Pro。,,https://www.adobe.com/tw/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=NuLcskhEEFBsl2qrkrO2,NuLcskhEEFBsl2qrkrO2,12_314d_ad_v1.jpg; 12_314d_ad_v2.jpg; 12_314d_ad_v3.jpg,,3
06_Adobe_Video,Adobe Video,13,314,2025-11-06,DCO,LEARN_MORE,,您的故事，快照呈現,您的故事，快照呈現,像影片創作者 Celina Bhandari 一樣拍攝最喜歡的時刻，並分享作品。開始使用 Adobe Premiere Pro。,,https://www.adobe.com/tw/products/premiere.html,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=I052x9ysABkI8jKh9jYK,I052x9ysABkI8jKh9jYK,13_314d_ad_v1.jpg; 13_314d_ad_v2.jpg; 13_314d_ad_v3.jpg,,3
