brand_folder,brand,rank,days_running,started_running,display_format,cta_type,video_duration_s,hook,headline,primary_text,transcript,landing_url,placements,foreplay_url,foreplay_id,media_files,thumbnail_file,media_count
05_Canva,Canva,1,497,2025-05-07,DCO,LEARN_MORE,,Unlock creative efficiencies with Canva.,Unlock creative efficiencies with Canva.,Switching to Canva Enterprise was a no-brainer for Movement Gyms – here’s why.,,https://www.canva.com/business/case-studies/movement-climbing-yoga-fitness/,"facebook,instagram,messenger",https://app.foreplay.co/discovery?ad=FJhNF4WqJMND5kKMMSF4,FJhNF4WqJMND5kKMMSF4,01_497d_Unlock-creative-efficiencies-with-Canva_v1.jpg; 01_497d_Unlock-creative-efficiencies-with-Canva_v2.jpg; 01_497d_Unlock-creative-efficiencies-with-Canva_v3.jpg,,3
05_Canva,Canva,2,497,2025-05-07,IMAGE,LEARN_MORE,,Enjoy an all-in-one design solution,Enjoy an all-in-one design solution,"By consolidating multiple design tools into one with Canva, FNRE scales content production across its office network.",,https://www.canva.com/for-teams/case-studies/first-national-real-estate/,"facebook,instagram",https://app.foreplay.co/discovery?ad=0ya4YOSqoGRZCaBRYORy,0ya4YOSqoGRZCaBRYORy,02_497d_Enjoy-an-all-in-one-design-solution.jpg,,1
05_Canva,Canva,3,444,2025-06-29,DCO,LEARN_MORE,,Create with free templates now,Create with free templates now,Elevate your lessons. Find a Canva custom template for any subject or grade level. Sign up for free.,,https://www.canva.com/education/,"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=ajIL2KX2J3Ibqf3n650Y,ajIL2KX2J3Ibqf3n650Y,03_444d_Create-with-free-templates-now_v1.jpg; 03_444d_Create-with-free-templates-now_v2.jpg,,2
05_Canva,Canva,4,440,2025-07-03,DCO,LEARN_MORE,,Better prints start here,Better prints start here,"Your prints, done right every time. Every order comes with our Happiness Guarantee and free delivery.",,https://www.canva.com/print/marketing-materials/,"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=kkP3IzfQfm0iH4VcgsQ9,kkP3IzfQfm0iH4VcgsQ9,04_440d_Better-prints-start-here_v1.jpg; 04_440d_Better-prints-start-here_v2.jpg,,2
05_Canva,Canva,5,440,2025-07-03,DCO,LEARN_MORE,,Try Canva Print,Try Canva Print,Print your vision with Canva and stand out in every detail. 🌟,,https://www.canva.com/print/,"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=Vlc352IARmWYKcOAuqat,Vlc352IARmWYKcOAuqat,05_440d_Try-Canva-Print_v1.jpg; 05_440d_Try-Canva-Print_v2.jpg,,2
05_Canva,Canva,6,439,2025-07-04,DCO,LEARN_MORE,,"Sometimes there are certain meetings that should have just been emails and other times you really do need a place to collaborate. With the Canva Teams account, you can create a whiteboard to streamline all of your meetings so precious time isn't wasted. You can invite your team members to work together in real time, use the timer for maximum productivity and even play music to spice things up during coworking sessions. Once the meeting is over you can transform the whiteboard into an executive summary to send upper management. You can create a detailed project plan for your team, or you could even transform the whiteboard into a presentation. Canva Teams was made for your team, try it for free today.",Try Canva Teams for free,Canva Teams makes remote collaboration a breeze. Here are some helpful tips for brainstorming using Whiteboards 👏 Try it free.,"Sometimes there are certain meetings that should have just been emails and other times you really do need a place to collaborate. With the Canva Teams account, you can create a whiteboard to streamline all of your meetings so precious time isn't wasted. You can invite your team members to work together in real time, use the timer for maximum productivity and even play music to spice things up during coworking sessions. Once the meeting is over you can transform the whiteboard into an executive summary to send upper management. You can create a detailed project plan for your team, or you could even transform the whiteboard into a presentation. Canva Teams was made for your team, try it for free today.",https://www.canva.com/for-teams/,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=tolGGwTjN4CDj3p0trV9,tolGGwTjN4CDj3p0trV9,06_439d_Sometimes-there-are-certain-meetings-tha_v1.mp4; 06_439d_Sometimes-there-are-certain-meetings-tha_v2.mp4,,2
05_Canva,Canva,7,439,2025-07-04,DCO,LEARN_MORE,,Try Canva Teams for free,Try Canva Teams for free,"With Canva Teams, you can preset a writing style so everyone can generate on-brand copy. Try Canva Teams for free today.",,https://www.canva.com/for-teams/,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=rrFGMNRKPf9NuO9KiiNG,rrFGMNRKPf9NuO9KiiNG,07_439d_Try-Canva-Teams-for-free_v1.mp4; 07_439d_Try-Canva-Teams-for-free_v2.mp4,,2
05_Canva,Canva,8,439,2025-07-04,DCO,LEARN_MORE,,Video editing made simple,Video editing made simple,Show off your brand with videos made on Canva. Start designing for free.,,https://www.canva.com/,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=hyqTqgZuQnyvCA2oX0ua,hyqTqgZuQnyvCA2oX0ua,08_439d_Video-editing-made-simple_v1.jpg; 08_439d_Video-editing-made-simple_v2.jpg,,2
05_Canva,Canva,9,439,2025-07-04,DCO,ORDER_NOW,,Print with Canva,Print with Canva,"Bring your ideas to life with Canva. Design and print invites, posters, and more. Enjoy free delivery on all orders.",,https://www.canva.com/print/what-we-print/,"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=Co1CAkR3i7Zkb6AArI0H,Co1CAkR3i7Zkb6AArI0H,09_439d_Print-with-Canva_v1.jpg; 09_439d_Print-with-Canva_v2.jpg,,2
05_Canva,Canva,10,435,2025-07-08,IMAGE,LEARN_MORE,,"Less work, more words","Less work, more words","Create without burnout. Magic Write helps you with content ideation, writing, editing, and more. Try Canva Pro free.",,https://www.canva.com/pro,"facebook,instagram,messenger,threads",https://app.foreplay.co/discovery?ad=acRJZzOVjgYiT2zjq2Fc,acRJZzOVjgYiT2zjq2Fc,10_435d_Less-work-more-words.jpg,,1
