brand_folder,brand,rank,days_running,started_running,display_format,cta_type,video_duration_s,hook,headline,primary_text,transcript,landing_url,placements,foreplay_url,foreplay_id,media_files,thumbnail_file,media_count
08_Slack,Slack,1,520,2025-04-14,DCO,SIGN_UP,15.02,スラックでプロジェクトをもっと効率化 投稿したり ミーティングしたら タッシュコーン整理して Slackなら仕事がはかどります,プロジェクトにホームベースを,それぞれ遠く離れた場所にいても、机を並べているかのように連携できます,スラックでプロジェクトをもっと効率化 投稿したり ミーティングしたら タッシュコーン整理して Slackなら仕事がはかどります,https://slack.com/intl/ja-jp/solutions/use-cases/manage-projects-efficiently?d=701ed00000ArpqWAAR&nc=701ed00000ArMqBAAV&utm_source=meta&utm_medium=paid_social&utm_campaign=APAC_JP_JP_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Use-Case-Desktop&utm_content=allsegments_all-ss-broad-jp-use-case1_701ed00000ArpqWAAR_japanese_manage-projects-efficiently_kaposttitle&utm_term=Retail-Interest-Desktop-JP_._Fast-Communication-UC1,facebook,https://app.foreplay.co/discovery?ad=cJzMVE4UMKUN4PLjYPTn,cJzMVE4UMKUN4PLjYPTn,01_520d_Slack_v1.mp4; 01_520d_Slack_v2.mp4,,2
08_Slack,Slack,2,467,2025-06-06,DCO,SIGN_UP,15.02,"Setze Projekte mit Slack in kürzerer Zeit um. Schreibe über sie, sprich über sie Startet durch! Arbeit findet in Slack statt",Deine Projekte zusammenführen | Slack,"Tschüss, E-Mails! Slack beschleunigt die Kommunikation für schnellere Projektabschlüsse","Setze Projekte mit Slack in kürzerer Zeit um. Schreibe über sie, sprich über sie Startet durch! Arbeit findet in Slack statt",https://slack.com/intl/de-de/solutions/use-cases/manage-projects-efficiently?d=701ed00000ArzuyAAB&nc=701ed00000As203AAB&utm_source=meta&utm_medium=paid_social&utm_campaign=EMEA_DE_DE_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-ToFu-Use-Case-Desktop&utm_content=all-segments_x-ss-ToFu-de-uc1_701ed00000ArzuyAAB_german_manage-projects-efficiently&utm_term=Interest-Industry-Desktop-DE_._Fast-communication-de-uc1,facebook,https://app.foreplay.co/discovery?ad=Ox3Eyjbhvn6EKDxWZcPu,Ox3Eyjbhvn6EKDxWZcPu,02_467d_Setze-Projekte-mit-Slack-in-k-rzerer-Zei_v1.mp4; 02_467d_Setze-Projekte-mit-Slack-in-k-rzerer-Zei_v2.mp4,,2
08_Slack,Slack,3,394,2025-08-18,DCO,LEARN_MORE,,Easily juggle projects.,Easily juggle projects.,"With lists, recaps, and summaries, Slack makes it easy to stay on the same page as your team, without reading every chapter.",,https://slack.com/solutions/small-business?pg=paid-campaign&d=701ed00000ArSFOAA3&nc=701ed00000ArhshAAB&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_US_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Bus-Plus-SMB-Broad-Desktop&utm_content=all-segments_all-ss-broad-smb-page-bus-plus_701ed00000ArSFOAA3_english_small-business-pg-paid-campaign&utm_term=SMB-Broad-Desktop-US_Workstyle_._customer_roger_static_x_Roger-Dane-Projects,facebook,https://app.foreplay.co/discovery?ad=NZRhe3KmuloELZnLGFMn,NZRhe3KmuloELZnLGFMn,03_394d_Easily-juggle-projects_v1.jpg; 03_394d_Easily-juggle-projects_v2.jpg; 03_394d_Easily-juggle-projects_v3.jpg,,3
08_Slack,Slack,4,386,2025-08-26,DCO,SIGN_UP,,Put All Your Tools at Your Fingertips in Slack,Put All Your Tools at Your Fingertips in Slack,"In Slack, work just… works. Connect your most-used apps for resolving tickets, managing projects, and more, to speed up and simplify your workday.",,https://slack.com/solutions/small-business?pg=paid-campaign&d=701ed00000ArSFOAA3&nc=701ed00000ArhshAAB&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_US_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Bus-Plus-SMB-Broad-Mobile&utm_content=all-segments_all-ss-broad-smb-page-bus-plus_701ed00000ArSFOAA3_english_small-business-pg-paid-campaign&utm_term=SMB-Broad-Mobile-US_Workstyle_._customer_gozney_static_x_Gozney-Janey,"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=fLFJYvkmd9UoQWKpH0zl,fLFJYvkmd9UoQWKpH0zl,04_386d_Put-All-Your-Tools-at-Your-Fingertips-in_v1.mp4; 04_386d_Put-All-Your-Tools-at-Your-Fingertips-in_v2.jpg; 04_386d_Put-All-Your-Tools-at-Your-Fingertips-in_v3.mp4,,3
08_Slack,Slack,5,377,2025-09-04,DCO,SIGN_UP,,Gozney Brings All Their Tools Into Slack,Gozney Brings All Their Tools Into Slack,"By integrating apps like Lattice and Trustpilot into Slack, Gozney jumps through fewer hoops to get things done.",,https://slack.com/intl/en-gb/solutions/small-business?d=701ed00000ArzvZAAR&nc=701ed00000As20eAAB&utm_source=meta&utm_medium=paid_social&utm_campaign=EMEA_GB_UKI_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-ToFu-Use-Case-Desktop-T1&utm_content=all-segments_x-ss-mof-gb-smallbusiness_701ed00000ArzvZAAR_english_small-business&utm_term=Marketing-Interest-Desktop-GB_._Gozney-Rox-Integrations-15s,facebook,https://app.foreplay.co/discovery?ad=DiLx5jlzCABQzwuFxNZQ,DiLx5jlzCABQzwuFxNZQ,05_377d_Gozney-Brings-All-Their-Tools-Into-Slack_v1.mp4; 05_377d_Gozney-Brings-All-Their-Tools-Into-Slack_v2.mp4; 05_377d_Gozney-Brings-All-Their-Tools-Into-Slack_v3.mp4,,3
08_Slack,Slack,6,365,2025-09-16,DCO,SIGN_UP,,Writer + Slack,Writer + Slack,"Feeling the need for speed? Writer works together in Slack for swift, streamlined solutions.",,https://slack.com/solutions/small-business?pg=paid-campaign&d=701ed00000ArSFOAA3&nc=701ed00000ArhshAAB&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_US_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Bus-Plus-SMB-Industry-IT-Mobile&utm_content=all-segments_all-ss-broad-smb-page-bus-plus_701ed00000ArSFOAA3_english_small-business-pg-paid-campaign&utm_term=SMB-Industry-IT-Mobile-US_IT_._customer_writerai_static_x_writer-brock-static,"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=xKipH3jWToLsiuvFtbyQ,xKipH3jWToLsiuvFtbyQ,06_365d_Writer-Slack_v1.jpg; 06_365d_Writer-Slack_v2.jpg,,2
08_Slack,Slack,7,364,2025-09-17,DCO,LEARN_MORE,,"Why is Slack the easiest decision in business? Because you'll power through projects faster. You'l get the right people together and get answers right away We're all set And... ...you actually like the way you work we love using Slack If didn't have Slack, it would explode I feel like a fangirl Like i'm obsessed with if my company ever took slack away from me probably quit on spot Me too Justin Me too.",Get 50% off Slack.,"Slack speeds up decision-making by 26%, people love it 100%, and if you sign up now, you’ll get 50% off your first 3 months.","Why is Slack the easiest decision in business? Because you'll power through projects faster. You'l get the right people together and get answers right away We're all set And... ...you actually like the way you work we love using Slack If didn't have Slack, it would explode I feel like a fangirl Like i'm obsessed with if my company ever took slack away from me probably quit on spot Me too Justin Me too.",https://slack.com/solutions/small-business?pg=paid-campaign&d=701ed00000ArSFeAAN&nc=701ed00000ArhsxAAB&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_US_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-BR-All-Video-TOF-Bus-Plus-Consolidated-Mixed-All-Test&utm_content=all-segments_all-ss-tof-bus-plus-page_701ed00000ArSFeAAN_english_small-business-pg-paid-campaign&utm_term=Consolidated-Mixed-All-US_Broad_._evergreen_busplus_video_30sec_SMB-Broad-30s,"facebook,instagram",https://app.foreplay.co/discovery?ad=7AQnPXdXxWKDr3zH1wB1,7AQnPXdXxWKDr3zH1wB1,07_364d_Why-is-Slack-the-easiest-decision-in-bus_v1.mp4; 07_364d_Why-is-Slack-the-easiest-decision-in-bus_v2.mp4; 07_364d_Why-is-Slack-the-easiest-decision-in-bus_v3.mp4,,3
08_Slack,Slack,8,359,2025-09-22,DCO,SIGN_UP,,"At Carraway, simplifying the company tech portfolio has been extremely easy to do when Slack provides alternatives that you don't need to subscribe too. You can save cost simplify contracts because Slack offers those features and functionality all under one umbrella",Collab quicker in Slack.,"When you bring clients, contractors, and customers into Slack, you can turn projects around faster. It’s simple work math.","At Carraway, simplifying the company tech portfolio has been extremely easy to do when Slack provides alternatives that you don't need to subscribe too. You can save cost simplify contracts because Slack offers those features and functionality all under one umbrella",https://slack.com/solutions/small-business?pg=paid-campaign&d=701ed00000ArSFOAA3&nc=701ed00000ArhshAAB&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_US_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Bus-Plus-SMB-Broad-Desktop-Test&utm_content=all-segments_all-ss-broad-smb-page-bus-plus_701ed00000ArSFOAA3_english_small-business-pg-paid-campaign&utm_term=SMB-Broad-Desktop-US_Interest_._customer_caraway_video_15sec_caraway-superpower,facebook,https://app.foreplay.co/discovery?ad=h67IeID8bQfpVGrVJjcl,h67IeID8bQfpVGrVJjcl,08_359d_At-Carraway-simplifying-the-company-tech_v1.mp4; 08_359d_At-Carraway-simplifying-the-company-tech_v2.mp4; 08_359d_At-Carraway-simplifying-the-company-tech_v3.mp4,,3
08_Slack,Slack,9,355,2025-09-26,DCO,SIGN_UP,,"And Carraway, something we've been really leveraging and loving are Slack workflows. Workflows are such a user-friendly way to make simple everyday tasks more streamlined and organized I actually have workflow where the team can kind of type out their requests to me it gets synced into our project management systems It's really helped my personally become more efficient i mean...I save so much time with workflows Slack is such powerful tool and is a critical piece of the business.",Caraway x Slack,See how Caraway uses workflows in Slack to save time on everyday tasks,"And Carraway, something we've been really leveraging and loving are Slack workflows. Workflows are such a user-friendly way to make simple everyday tasks more streamlined and organized I actually have workflow where the team can kind of type out their requests to me it gets synced into our project management systems It's really helped my personally become more efficient i mean...I save so much time with workflows Slack is such powerful tool and is a critical piece of the business.",https://slack.com/solutions/small-business?pg=paid-campaign&d=701ed00000ArSFOAA3&nc=701ed00000ArhshAAB&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_CA_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Bus-Plus-SMB-Industry-IT-Desktop&utm_content=all-segments_all-ss-broad-smb-page-bus-plus_701ed00000ArSFOAA3_english_small-business-pg-paid-campaign&utm_term=SMB-Industry-IT-Desktop-CA_IT_._customer_caraway_video_30sec_caraway-workflows,facebook,https://app.foreplay.co/discovery?ad=seXGlHIVW5LG5BCznLwA,seXGlHIVW5LG5BCznLwA,09_355d_And-Carraway-something-we-ve-been-really_v1.mp4; 09_355d_And-Carraway-something-we-ve-been-really_v2.mp4,,2
08_Slack,Slack,10,355,2025-09-26,DCO,SIGN_UP,,Try AI search in Slack.,Try AI search in Slack.,"With AI-powered search in Slack, you can find important info instantly. No digging required",,https://slack.com/solutions/small-business?d=7013y0000022sAeAAI&nc=7013y0000023FN4AAM&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_US_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Use-Case-Desktop&utm_content=allsegments_all-ss-broad-small-business-lp-test_7013y0000022sAeAAI_english_small-business&utm_term=IndustryBusiness-Interest-Desktop-US_._challenger-v1-more-discovering-statichttps://slack.com/solutions/small-business?d=7013y0000022sAeAAI&nc=7013y0000023FN4AAM&utm_source=meta&utm_medium=paid_social&utm_campaign=AMER_US_USCA_SLK_Evergreen_X_Meta_Conc_SLACK-PG-SS-All-All-MOF-Use-Case-Desktop&utm_content=allsegments_all-ss-broad-small-business-lp-test_7013y0000022sAeAAI_english_small-business&utm_term=IndustryBusiness-Interest-Desktop-US_._challenger-v1-more-discovering-static,facebook,https://app.foreplay.co/discovery?ad=BWCugVbzWyxrqOkA1TrI,BWCugVbzWyxrqOkA1TrI,10_355d_Try-AI-search-in-Slack_v1.mp4; 10_355d_Try-AI-search-in-Slack_v2.jpg; 10_355d_Try-AI-search-in-Slack_v3.mp4,,3
