brand_folder,brand,rank,days_running,started_running,display_format,cta_type,video_duration_s,hook,headline,primary_text,transcript,landing_url,placements,foreplay_url,foreplay_id,media_files,thumbnail_file,media_count
01_vidIQ,vidIQ,1,411,2025-08-01,DCO,SIGN_UP,30.95,"I know why nobody's watching your YouTube videos. It is not because your content isn't good, it is because you can not hook attention! So let me tell you what you can do about that... Start with a bold question A surprising fact or the exact problem Your video will solve Because if YOU don´T grab them fast they'll never see the rest of what YOU have to say Notice how YOUR still paying attention? Yeah Click on this link To learn how TO DO THIS For YOUR videos",Get More Views on YouTube Today!,"Want more views and faster YouTube growth?

vidIQ helps you rank higher, get more clicks, and create thumbnails that stand out — all in one place.

🔍 Find keywords your audience is searching for
✍️ Write optimized titles & descriptions with live SEO tips
🖼️ Design thumbnails that drive clicks
📈 Spot what’s trending right now — including Shorts
⭐️ 20,000+ 5-star reviews from creators like you

Stop guessing. Start growing.","I know why nobody's watching your YouTube videos. It is not because your content isn't good, it is because you can not hook attention! So let me tell you what you can do about that... Start with a bold question A surprising fact or the exact problem Your video will solve Because if YOU don´T grab them fast they'll never see the rest of what YOU have to say Notice how YOUR still paying attention? Yeah Click on this link To learn how TO DO THIS For YOUR videos",https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=IHD5TfXTzqI4lNDISnPq,IHD5TfXTzqI4lNDISnPq,01_411d_I-know-why-nobody-s-watching-your-YouTub_v1.mp4; 01_411d_I-know-why-nobody-s-watching-your-YouTub_v2.mp4; 01_411d_I-know-why-nobody-s-watching-your-YouTub_v3.mp4,,3
01_vidIQ,vidIQ,2,315,2025-11-05,DCO,LEARN_MORE,,Stop Guessing. Start Growing.,Stop Guessing. Start Growing.,"Tired of posting Youtube videos no one watches?
With vidIQ, creators are finally seeing their content take off 🚀
Join 20M+ YouTubers leveling up today.",,https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=oGlMhO9ZLu2boSedu49E,oGlMhO9ZLu2boSedu49E,02_315d_Stop-Guessing-Start-Growing_v1.png; 02_315d_Stop-Guessing-Start-Growing_v2.png; 02_315d_Stop-Guessing-Start-Growing_v3.png,,3
01_vidIQ,vidIQ,3,315,2025-11-05,DCO,LEARN_MORE,,"Smarter YouTube Tools, On Demand","Smarter YouTube Tools, On Demand","YouTube creators, meet your all-in-one assistant.
Ideas. Optimization. Scripts. Thumbnails.
Get help anytime, anywhere.",,https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=i6yHzqltG9A8Yx0kw0vK,i6yHzqltG9A8Yx0kw0vK,03_315d_Smarter-YouTube-Tools-On-Demand_v1.png; 03_315d_Smarter-YouTube-Tools-On-Demand_v2.png; 03_315d_Smarter-YouTube-Tools-On-Demand_v3.png,,3
01_vidIQ,vidIQ,4,315,2025-11-05,DCO,LEARN_MORE,,Data + Community = YouTube Growth,Data + Community = YouTube Growth,"Struggling with titles, thumbnails, or strategy? vidIQ shows you what works—backed by data, live reviews, and community support.",,https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=gFVBlbO1g1BTaeQ9JUci,gFVBlbO1g1BTaeQ9JUci,04_315d_Data-Community-YouTube-Growth_v1.mp4; 04_315d_Data-Community-YouTube-Growth_v2.mp4; 04_315d_Data-Community-YouTube-Growth_v3.mp4,,3
01_vidIQ,vidIQ,5,315,2025-11-05,DCO,LEARN_MORE,,"I started posting YouTube shorts and my channel exploded. VidIQ's AI Shorts Clipping is the tool to create YouTube shorts Their AI is trained specifically with YouTube content and knows exactly the tactics for retention It lets me just paste My long form video URL And it automatically finds The most viral moments for Me, An with their smart optimizations ,it perfectly frames each clip and formats everything for YouTube Shorts. With zero editing needed, even you can choose the caption style or template that you want! So now every long-form content becomes dozens of pieces across all my platforms This completely changed by output which is crucial for channel growth and modernization Try vidIQ",Create Viral Shorts in 1 Click 🚀,"Upload. Click. Grow.
AI Shorts Clipping finds your best moments instantly. 🚀","I started posting YouTube shorts and my channel exploded. VidIQ's AI Shorts Clipping is the tool to create YouTube shorts Their AI is trained specifically with YouTube content and knows exactly the tactics for retention It lets me just paste My long form video URL And it automatically finds The most viral moments for Me, An with their smart optimizations ,it perfectly frames each clip and formats everything for YouTube Shorts. With zero editing needed, even you can choose the caption style or template that you want! So now every long-form content becomes dozens of pieces across all my platforms This completely changed by output which is crucial for channel growth and modernization Try vidIQ",https://vidiq.com/features/clipping/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=WHyJgb0p0qkFOZT4nqTC,WHyJgb0p0qkFOZT4nqTC,05_315d_I-started-posting-YouTube-shorts-and-my_v1.mp4; 05_315d_I-started-posting-YouTube-shorts-and-my_v2.mp4; 05_315d_I-started-posting-YouTube-shorts-and-my_v3.mp4,,3
01_vidIQ,vidIQ,6,315,2025-11-05,DCO,LEARN_MORE,,Grow. Monetize. Repeat.,Grow. Monetize. Repeat.,"🚀 Stop guessing. Start growing.
vidIQ shows you what to post, how to optimize, and how to turn views into real income.",,https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=BhTE270D1uUZJ9ZpeRdR,BhTE270D1uUZJ9ZpeRdR,06_315d_Grow-Monetize-Repeat_v1.mp4; 06_315d_Grow-Monetize-Repeat_v2.mp4; 06_315d_Grow-Monetize-Repeat_v3.mp4,,3
01_vidIQ,vidIQ,7,313,2025-11-07,DCO,LEARN_MORE,,Tools + Community = Faster Growth,Tools + Community = Faster Growth,Starting your YouTube journey alone? That’s your first mistake. Join 20M+ creators growing with vidIQ. 🌊,,https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=KqTH4kI3blRpsmHnnKUH,KqTH4kI3blRpsmHnnKUH,07_313d_Tools-Community-Faster-Growth_v1.mp4; 07_313d_Tools-Community-Faster-Growth_v2.mp4; 07_313d_Tools-Community-Faster-Growth_v3.mp4,,3
01_vidIQ,vidIQ,8,312,2025-11-08,VIDEO,LEARN_MORE,29.7,"I decided to take YouTube seriously for 12 months. i started with zero subscribers, ended with 30 thousand! The secret? VidIQ — it's like having a crystal ball for YouTube It showed me exactly which keywords were about to blow up and what my competitors wer doing wrong Thumbnails and scripts done in seconds with AI YouTube isn't guesswork Its data One year later Im on the first trip To create content Try vidiq free And start building your youtube dream",👉 Ready to Make Money on YouTube?,"You’re not getting views because you’re trying to do everything alone. vidIQ helps you with titles, tags, keywords, trends, and strategy so you can stop guessing and start growing. Join 20M+ creators using vidIQ to build their YouTube income.","I decided to take YouTube seriously for 12 months. i started with zero subscribers, ended with 30 thousand! The secret? VidIQ — it's like having a crystal ball for YouTube It showed me exactly which keywords were about to blow up and what my competitors wer doing wrong Thumbnails and scripts done in seconds with AI YouTube isn't guesswork Its data One year later Im on the first trip To create content Try vidiq free And start building your youtube dream",https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger",https://app.foreplay.co/discovery?ad=OxZ9vJLUq6kLzVFy510R,OxZ9vJLUq6kLzVFy510R,08_312d_I-decided-to-take-YouTube-seriously-for.mp4,08_312d_I-decided-to-take-YouTube-seriously-for_thumb.jpg,1
01_vidIQ,vidIQ,9,307,2025-11-13,IMAGE,SIGN_UP,,Get Discovered on YouTube 🎥 with vidIQ — Start Today!,Get Discovered on YouTube 🎥 with vidIQ — Start Today!,🌟 vidIQ: AI-powered tools for Youtube Creators,,https://vidiq.com/?utm_source=facebook&utm_medium=cpc&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D,"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=maTsns6lHkyITGxwt7Lp,maTsns6lHkyITGxwt7Lp,09_307d_Get-Discovered-on-YouTube-with-vidIQ-Sta.png,,1
01_vidIQ,vidIQ,10,307,2025-11-13,DCO,LEARN_MORE,,AI Coach for Your YouTube Channel,AI Coach for Your YouTube Channel,"Views dipping and not sure why? 📉 vidIQ AI Coach reads your channel data, answers your questions, and pinpoints the top fixes for CTR, watch time, and titles. Get clear steps to improve your next upload. Start growing with AI Coach.",,https://vidiq.com/features/ai-youtube-coach/?utm_source=facebook&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}},"facebook,instagram,audience_network,messenger,threads",https://app.foreplay.co/discovery?ad=jUPOgiwQZCeFPmu9QQ5E,jUPOgiwQZCeFPmu9QQ5E,10_307d_AI-Coach-for-Your-YouTube-Channel_v1.png; 10_307d_AI-Coach-for-Your-YouTube-Channel_v2.png; 10_307d_AI-Coach-for-Your-YouTube-Channel_v3.png,,3
