brand_folder,brand,rank,days_running,started_running,display_format,cta_type,headline,primary_text,card_text,landing_url,foreplay_url,foreplay_id,images,page
01_vidIQ,vidIQ,1,308,2025-11-13,IMAGE,SIGN_UP,Get Discovered on YouTube 🎥 with vidIQ — Start Today!,🌟 vidIQ: AI-powered tools for Youtube Creators,,https://vidiq.com/,https://app.foreplay.co/discovery?ad=maTsns6lHkyITGxwt7Lp,maTsns6lHkyITGxwt7Lp,https://r2.foreplay.co/6c2d430b0e7987160b57e7ff1f5a670ab483a2e7de9873b6f236e68f78fc81d7.png,
01_vidIQ,vidIQ,2,244,2026-01-16,IMAGE,LEARN_MORE,Your 24/7 YouTube Growth Advantage,"Entering 2026 with the same strategy? Switch to data-backed ideas, hooks, and formats with vidIQ.",,https://vidiq.com/,https://app.foreplay.co/discovery?ad=70mDiAn4TjgDtQk5Rj0c,70mDiAn4TjgDtQk5Rj0c,https://r2.foreplay.co/5bb2148f0e5de9f2ed75bdd731e652f3c109f07a28e807d4e210ad1a5551dc0c.png,
01_vidIQ,vidIQ,3,140,2026-04-30,IMAGE,LEARN_MORE,Unlock YouTube Growth in 2026,"Stuck at 1,000 subs + 4,000 hours? Stop guessing what to upload. vidIQ helps you find searchable topics, better titles, and thumbnails that earn watch time. Get 25% off forever.",,https://vidiq.com/unlock-growth/,https://app.foreplay.co/discovery?ad=K8wDRMMI2n39o42WtTzu,K8wDRMMI2n39o42WtTzu,https://r2.foreplay.co/9ac9dc0d7c6220ed6714132f2ca21e7f9a456297ad4b99394bd34f7ec512e392.png,
01_vidIQ,vidIQ,4,133,2026-05-07,IMAGE,LEARN_MORE,Unlock YouTube Growth in 2026,"🚨 PROMO ALERT: 25% OFF vidIQ FOREVER.
Get better keywords, thumbnails, and data so every upload moves you closer to your goals. Upgrade now and lock in your lifetime discount before it’s gone.",,https://vidiq.com/unlock-growth/,https://app.foreplay.co/discovery?ad=AXydyhJ67hTN3YdKjbw2,AXydyhJ67hTN3YdKjbw2,https://r2.foreplay.co/2d76b2a962eec5a70139f1b18a07d12546fd98658bf9d48d1326bb48e0593aeb.png,
01_vidIQ,vidIQ,5,122,2026-05-18,IMAGE,INSTALL_MOBILE_APP,New: vidIQ for Instagram,"Stop guessing what to post on Instagram. Get AI-powered Reel ideas, hook fixes, trends, captions, and competitor insights in one toolkit.",,http://itunes.apple.com/app/id1458235345,https://app.foreplay.co/discovery?ad=gykpG2x7Dg8YKEm7yp5K,gykpG2x7Dg8YKEm7yp5K,https://r2.foreplay.co/31301832a1f277bd85bcdf4366ba791a5205b64b02aeaf975979e95f45e8d0e2.png,
01_vidIQ,vidIQ,6,94,2026-06-15,IMAGE,LEARN_MORE,Unlock YouTube Growth in 2026,"🚨 PROMO ALERT: 25% OFF vidIQ FOREVER.
Get better keywords, thumbnails, and data so every upload moves you closer to your goals. Upgrade now and lock in your lifetime discount before it’s gone.",,https://vidiq.com/unlock-growth/,https://app.foreplay.co/discovery?ad=tf43KzMY5LaiQGjPl6kU,tf43KzMY5LaiQGjPl6kU,https://r2.foreplay.co/dd9b39256cacd5b247dac76772a46488ea2bf948660cc900c87c84f24eb4f4ed.png,
01_vidIQ,vidIQ,7,71,2026-07-08,IMAGE,LEARN_MORE,Unlock YouTube Growth in 2026,"Stuck at 1,000 subs + 4,000 hours? Stop guessing what to upload. vidIQ helps you find searchable topics, better titles, and thumbnails that earn watch time. Get 25% off forever.",,https://vidiq.com/unlock-growth/,https://app.foreplay.co/discovery?ad=K4tyjfJVW8fsX9KKhdyb,K4tyjfJVW8fsX9KKhdyb,https://r2.foreplay.co/7aa35bf26c61960a2b407e7d28924dfa73e896bc24c1f463baeda3d2402f836c.png,
01_vidIQ,vidIQ,8,68,2026-07-11,IMAGE,LEARN_MORE,See Where Your Youtube Channel Is Falling Behind,What if you knew exactly where a YouTube channel is falling behind? Get a free vidIQ audit and see the gaps holding it back.,,https://vidiq.com/youtube-channel-audit/,https://app.foreplay.co/discovery?ad=AtzWp2sbROhQLPOmLpf6,AtzWp2sbROhQLPOmLpf6,https://r2.foreplay.co/305b49c173e9df8809a103590c0f41974fa1a01f83c779414ad03f4f337a52a9.png,
01_vidIQ,vidIQ,9,61,2026-07-18,IMAGE,LEARN_MORE,Hit Your Next Milestone,"Starting a YouTube channel is easier when you know what to post next. vidIQ helps you find ideas, titles, keywords, and thumbnails so you can grow with direction.",,https://vidiq.com/,https://app.foreplay.co/discovery?ad=NO9bhFDkvIwrCr0bXL6o,NO9bhFDkvIwrCr0bXL6o,https://r2.foreplay.co/f10169d1392cf9a245d73ee160e8b7526c8e8fe416e85e737a6dfcc51ce2a9a7.png,
01_vidIQ,vidIQ,10,39,2026-08-09,IMAGE,LEARN_MORE,Hit Your Next Milestone,"Starting a YouTube channel is easier when you know what to post next. vidIQ helps you find ideas, titles, keywords, and thumbnails so you can grow with direction.",,https://vidiq.com/,https://app.foreplay.co/discovery?ad=ZkMQWQ7s5aJhJVEUtOfc,ZkMQWQ7s5aJhJVEUtOfc,https://r2.foreplay.co/58e5c277aaceb9795dd081eb04c5a5bcb432eae493672d00464ce9e62f049530.png,
01_vidIQ,vidIQ,11,39,2026-08-09,IMAGE,LEARN_MORE,Hit Your Next Milestone,"Starting a YouTube channel is easier when you know what to post next. vidIQ helps you find ideas, titles, keywords, and thumbnails so you can grow with direction.",,https://vidiq.com/,https://app.foreplay.co/discovery?ad=KVrjf30ldxBHvF6gOJxO,KVrjf30ldxBHvF6gOJxO,https://r2.foreplay.co/e89174e17107145767dbc2873e277b66c62a35ce0f283fd5979e2c06b24c9868.png,
01_vidIQ,vidIQ,12,23,2026-08-25,IMAGE,LEARN_MORE,Hit Your Next Milestone,"Starting a YouTube channel is easier when you know what to post next. vidIQ helps you find ideas, titles, keywords, and thumbnails so you can grow with direction.",,https://vidiq.com/lp/youtube-monetization/,https://app.foreplay.co/discovery?ad=ihkel7ewBNq5fqaIuVLo,ihkel7ewBNq5fqaIuVLo,https://r2.foreplay.co/f10169d1392cf9a245d73ee160e8b7526c8e8fe416e85e737a6dfcc51ce2a9a7.png,
01_vidIQ,vidIQ,13,23,2026-08-25,IMAGE,LEARN_MORE,Hit Your Next Milestone,"Starting a YouTube channel is easier when you know what to post next. vidIQ helps you find ideas, titles, keywords, and thumbnails so you can grow with direction.",,https://vidiq.com/,https://app.foreplay.co/discovery?ad=G7QlbgbHnXvBKmEEZ4wS,G7QlbgbHnXvBKmEEZ4wS,https://r2.foreplay.co/58e5c277aaceb9795dd081eb04c5a5bcb432eae493672d00464ce9e62f049530.png,
01_vidIQ,vidIQ,14,13,2026-09-04,CAROUSEL,SEE_DETAILS,100 → 55K subs with Coach Jeff,The Car Guy Chronicles With Zac. See what changed →,"100 → 55K subs with Coach Jeff / The Car Guy Chronicles With Zac. See what changed →; Same channel. 450 → 1.2M views / New title, new thumbnail, same creator. That's coaching.; 50% off your first month / Get your channel reviewed. 4.87/5 from 1,291 ratings.",https://vidiq.com/coaching/,https://app.foreplay.co/discovery?ad=h6NTIwFMUx5VdzN2OKu2,h6NTIwFMUx5VdzN2OKu2,https://r2.foreplay.co/a37a30cfa1f9e5fe60246e47c5c3abd6a96bdc06e4bbe92ef3b5918f3d4be770.png; https://r2.foreplay.co/582cb05df50ee9df9ec54bffc998704c0d661d790440a5aa28058101645ab9e7.png; https://r2.foreplay.co/27158fc612aea5fd1f74a67c3837b729b013680dedf76a743fb43a2c8a05e94c.png,
02_OpusClip,OpusClip,1,212,2026-02-17,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular podcast clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=rjzskuOGcUvrDvVD3dX5,rjzskuOGcUvrDvVD3dX5,https://r2.foreplay.co/e0b939057441733c11daa6dbe0ba2c5c02825a782de37efa472d6748f55c2c7c.png,
02_OpusClip,OpusClip,2,187,2026-03-14,IMAGE,DOWNLOAD,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular video clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,http://itunes.apple.com/app/id6743615403,https://app.foreplay.co/discovery?ad=jRhqqD7k4J8FU98tgio2,jRhqqD7k4J8FU98tgio2,https://r2.foreplay.co/e0b939057441733c11daa6dbe0ba2c5c02825a782de37efa472d6748f55c2c7c.png,
02_OpusClip,OpusClip,3,187,2026-03-14,IMAGE,DOWNLOAD,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular video clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,http://itunes.apple.com/app/id6743615403,https://app.foreplay.co/discovery?ad=L1ZXsBmNVXQU32H77ebe,L1ZXsBmNVXQU32H77ebe,https://r2.foreplay.co/e0b939057441733c11daa6dbe0ba2c5c02825a782de37efa472d6748f55c2c7c.png,
